FP,ExtFP,EStateFP,GraphFP,MACCSFP,PubchemFP,SubFP,SubFPC,KRFP,KRFPC,AD2D,APC2D,Total features,Train Logloss,Validation Logloss,Test Logloss,Train AUC,Validation AUC,Test AUC,Iteration
1024,1024,79,1024,166,0,307,307,0,4860,0,780,9571,0.3265838497282686,0.5571485717028117,0.45639141397528415,0.9799983611930514,0.7702863174561287,0.9021232161503655,0
1024,1024,79,1024,166,0,307,307,0,4860,780,0,9571,0.3165657556770077,0.5560520992438268,0.4543075053598588,0.9791543756145527,0.7717376962659981,0.89975635224504,0
1024,1024,79,1024,166,0,307,307,0,0,780,780,5491,0.3114482864838555,0.5620511595560836,0.4479028668657942,0.9811537200917732,0.7679113339490699,0.9001740341106858,0
1024,1024,79,1024,166,0,0,307,4860,4860,780,780,14904,0.30778853168214293,0.551479692938479,0.44723906437949584,0.9826327433628318,0.7805119408892994,0.9060911938739993,0
1024,1024,79,1024,166,0,307,0,4860,4860,780,780,14904,0.39412641440203683,0.5557037352060499,0.4878134746222886,0.9646468371025894,0.7760258609315214,0.8938391924817265,0
1024,1024,79,1024,166,0,307,0,4860,4860,0,780,14124,0.31068482874980713,0.5579050530872667,0.44476923738452256,0.9823541461815799,0.7723974139068478,0.9060911938739994,0
1024,1024,79,1024,166,0,307,0,4860,4860,780,0,14124,0.3422369871058219,0.5620164674752597,0.45092722610165065,0.9756227466404457,0.7638870563398865,0.9117995127044901,0
1024,1024,79,1024,166,0,307,0,0,4860,780,780,10044,0.3051496156217038,0.5496870879113501,0.4486819791691192,0.9820550639134711,0.7784008444385804,0.8959276018099548,0
1024,1024,79,1024,166,0,307,0,4860,0,780,780,10044,0.3016823850807264,0.5545821833443112,0.44213924209528,0.9834808259587021,0.774574482121652,0.9056038983640794,0
1024,1024,79,1024,166,0,0,307,4860,4860,0,780,14124,0.30271048786810417,0.5528284438133957,0.448007683232797,0.9828212061619142,0.7785987597308351,0.8941176470588236,0
1024,1024,79,1024,166,0,0,307,4860,4860,780,0,14124,0.320818135682809,0.5593541650989388,0.4565912462877929,0.9787897410685023,0.7723314421427628,0.8924469195962409,0
1024,1024,79,1024,166,0,0,307,0,4860,780,780,10044,0.30157805693005646,0.5496368464312652,0.4540069655882849,0.9832350049164209,0.7782689009104103,0.8926557605290638,0
1024,1024,79,1024,166,0,0,307,4860,0,780,780,10044,0.32148257924078194,0.5531069325616773,0.4506601761347348,0.9806825630940675,0.7727932444913578,0.9021928297946398,0
1024,1024,79,1024,166,0,0,0,4860,4860,780,780,14597,0.30778853168214293,0.551479692938479,0.44723906437949584,0.9826327433628318,0.7805119408892994,0.9060911938739993,0
1024,1024,79,1024,166,881,0,307,4860,4860,780,780,15785,0.3440958791066676,0.561600402511073,0.4662224415803884,0.9757292690921009,0.7654044069138408,0.8975287156282631,0
1024,1024,79,1024,166,881,307,0,4860,4860,780,780,15785,0.30158903073980126,0.5524727484344713,0.44183718077790224,0.9830547361520814,0.7753001715265866,0.9044900800556909,0
1024,1024,79,1024,166,881,307,0,4860,4860,0,780,15005,0.3088405474395068,0.5625062577832649,0.4467878751995998,0.9820755490003277,0.765074548093416,0.9076226940480334,0
1024,1024,79,1024,166,881,307,0,4860,4860,0,0,14225,0.3108030599116327,0.5596903085324948,0.4479811789549523,0.9808505408062931,0.7706821480406386,0.8993386703793943,0
1024,1024,79,1024,166,881,307,0,4860,4860,780,0,15005,0.37731760395297703,0.564889297534165,0.47461866618817866,0.966519174041298,0.7597968069666182,0.9037939436129482,0
1024,1024,79,1024,166,881,307,0,0,4860,780,780,10925,0.30303515488490673,0.5480838523373223,0.4508776626933574,0.9824156014421502,0.781171658530149,0.8904977375565611,0
1024,1024,79,1024,166,881,307,0,4860,0,780,780,10925,0.3125606384720119,0.5448357172364365,0.45118091589232845,0.9815388397246805,0.7848660773189075,0.9007309432648799,0
1024,1024,79,1024,166,881,307,0,4860,0,0,780,10145,0.3021888565308782,0.5436380195876211,0.4424060994099235,0.9828007210750573,0.7848001055548224,0.9069961712495649,0
1024,1024,79,1024,166,881,307,0,4860,0,780,0,10145,0.3504038214588067,0.5500356061014072,0.456921180178256,0.9730334316617503,0.7826890091041034,0.9131221719457014,0
1024,1024,79,1024,166,881,307,0,0,4860,0,780,10145,0.30032163741548235,0.5566366934455883,0.45015718556007,0.9838044903310391,0.770022430399789,0.894744169857292,0
1024,1024,79,1024,166,881,307,0,0,4860,780,0,10145,0.309120906622933,0.5547897152234652,0.4549650160442547,0.9812069813176008,0.7752341997625016,0.8966933518969717,0
1024,1024,79,1024,166,881,307,0,0,0,780,780,6065,0.30303515488490673,0.5480838523373223,0.4508776626933574,0.9824156014421502,0.781171658530149,0.8904977375565611,0
1024,1024,79,1024,166,881,0,307,4860,4860,0,780,15005,0.3163181704795735,0.5629629724359537,0.4560551220196437,0.9813831530645689,0.7675814751286449,0.8965541246084233,0
1024,1024,79,1024,166,881,0,307,4860,4860,0,0,14225,0.5116669828247746,0.5879615168632137,0.5407441046503159,0.9234861520812849,0.7598627787307033,0.8898712147580926,0
1024,1024,79,1024,166,881,0,307,4860,4860,780,0,15005,0.31203996681358215,0.558577797381494,0.45093794760189976,0.9805637495902982,0.7645467739807363,0.9046293073442394,0
1024,1024,79,1024,166,881,0,307,0,4860,780,780,10925,0.30541136551489956,0.544815356637606,0.44789802851111804,0.9823705342510652,0.7853278796675023,0.9049773755656109,0
1024,1024,79,1024,166,881,0,307,4860,0,780,780,10925,0.29854185286163204,0.5496335878531762,0.45103827664405033,0.9834398557849884,0.7819633196991688,0.8992690567351203,0
1024,1024,79,1024,166,881,0,307,4860,0,0,780,10145,0.522360678641661,0.5917046664184197,0.5482834026057642,0.9234390363815143,0.765338435149756,0.8861816916115558,0
1024,1024,79,1024,166,881,0,307,4860,0,780,0,10145,0.30914141240934545,0.553123096108359,0.4490614515034666,0.9809283841363488,0.7749703127061618,0.9026801253045595,0
1024,1024,79,1024,166,881,0,307,0,4860,0,780,10145,0.3029795046988386,0.5477234182280274,0.4484212687988056,0.981997705670272,0.7801161103047896,0.8971806474068917,0
1024,1024,79,1024,166,881,0,307,0,4860,780,0,10145,0.32607629470246585,0.5537613738391163,0.4618304357179712,0.9771837102589315,0.774178651537142,0.8941872607030977,0
1024,1024,79,1024,166,881,0,307,0,0,780,780,6065,0.30541136551489956,0.544815356637606,0.44789802851111804,0.9823705342510652,0.7853278796675023,0.9049773755656109,0
1024,1024,79,1024,166,881,0,0,4860,4860,780,780,15478,0.3440958791066676,0.561600402511073,0.4662224415803884,0.9757292690921009,0.7654044069138408,0.8975287156282631,0
1024,1024,79,1024,166,881,0,0,4860,4860,0,780,14698,0.3163181704795735,0.5629629724359537,0.4560551220196437,0.9813831530645689,0.7675814751286449,0.8965541246084233,0
1024,1024,79,1024,166,881,0,0,4860,4860,780,0,14698,0.31203996681358215,0.558577797381494,0.45093794760189976,0.9805637495902982,0.7645467739807363,0.9046293073442394,0
1024,1024,79,1024,166,881,0,0,0,4860,780,780,10618,0.30541136551489956,0.544815356637606,0.44789802851111804,0.9823705342510652,0.7853278796675023,0.9049773755656109,0
1024,1024,79,1024,166,881,0,0,4860,0,780,780,10618,0.29854185286163204,0.5496335878531762,0.45103827664405033,0.9834398557849884,0.7819633196991688,0.8992690567351203,0
1024,0,79,1024,166,881,307,307,4860,4860,780,780,15068,0.32721424187593895,0.5585927707932347,0.43736083918764207,0.9775524418223532,0.7720675550864229,0.9179255134006266,0
1024,0,79,1024,166,881,307,307,4860,4860,0,780,14288,0.32493664396804306,0.5593363093988666,0.4501461524740593,0.978670927564733,0.769626599815279,0.9008701705534286,0
1024,0,79,1024,166,881,307,307,4860,4860,0,0,13508,0.3340791913445304,0.5648877581973458,0.4452544964798027,0.9756760078662734,0.76751550336456,0.9175078315349807,0
1024,0,79,1024,166,881,307,307,4860,4860,780,0,14288,0.36364172371070097,0.5641506904701635,0.4589355543775843,0.9684406751884627,0.7656682939701807,0.9112426035502958,0
1024,0,79,1024,166,881,307,307,4860,4860,780,780,15068,0.32721424187593895,0.5585927707932347,0.43736083918764207,0.9775524418223532,0.7720675550864229,0.9179255134006266,0
1024,0,79,1024,166,881,307,307,4860,4860,0,780,14288,0.32493664396804306,0.5593363093988666,0.4501461524740593,0.978670927564733,0.769626599815279,0.9008701705534286,0
1024,0,79,1024,166,881,307,307,4860,4860,0,0,13508,0.3340791913445304,0.5648877581973458,0.4452544964798027,0.9756760078662734,0.76751550336456,0.9175078315349807,0
1024,0,79,1024,166,881,307,307,4860,4860,780,0,14288,0.36364172371070097,0.5641506904701635,0.4589355543775843,0.9684406751884627,0.7656682939701807,0.9112426035502958,0
1024,0,79,0,166,881,307,307,4860,4860,780,780,14044,0.3293898434283223,0.5545378729321528,0.43844665847149195,0.9768969190429369,0.7772133526850508,0.9143752175426384,0
1024,0,79,0,166,881,307,307,4860,4860,0,780,13264,0.32963391258124036,0.5563379489825327,0.4469231003399867,0.9773107177974435,0.7731231033117826,0.9154890358510268,0
1024,0,79,0,166,881,307,307,4860,4860,780,0,13264,0.33312987711520553,0.5580148503789389,0.44805836024356327,0.9750983284169124,0.7731231033117826,0.9138183083884442,0
1024,0,79,0,166,881,307,307,0,4860,780,780,9184,0.32525879415307535,0.5567594531732468,0.4453849079349963,0.9778105539167486,0.7739807362448873,0.9133310128785241,0
1024,0,79,0,166,881,307,307,4860,0,780,780,9184,0.3300834164773099,0.551594011492936,0.45202107047945805,0.9773926581448704,0.7783348726744953,0.906996171249565,0
1024,0,79,0,0,881,307,307,4860,4860,780,780,13878,0.3301904536301765,0.549412289770624,0.44587422793993553,0.9781301212717142,0.7770154373927959,0.9108249216846502,0
1024,0,79,0,166,0,307,307,4860,4860,780,780,13163,0.33911057977401743,0.5621203040884061,0.4399192808858403,0.9752908882333662,0.7636231692835466,0.9143056038983642,0
1024,0,79,0,166,881,0,307,4860,4860,780,780,13737,0.33033863185326207,0.5594917765201036,0.4495702107122958,0.9783636512618814,0.7688349386462595,0.9046293073442395,0
1024,0,79,0,166,881,307,0,4860,4860,780,780,13737,0.33140573871333473,0.5600182473336321,0.448999633053826,0.9782735168797115,0.7648106610370762,0.9092238078663419,0
1024,0,79,1024,166,881,307,307,0,4860,780,780,10208,0.3213105812284549,0.5482720301870387,0.4533412170425109,0.9782161586365126,0.7807758279456393,0.9042812391228681,0
1024,0,79,1024,166,881,307,307,4860,0,780,780,10208,0.32220201277143246,0.5490320428446301,0.4389654872579788,0.9776876433956081,0.7796543079561948,0.9158371040723983,0
1024,0,79,1024,166,881,307,307,4860,0,0,780,9428,0.3206763805797325,0.5518647702919548,0.4487436387399975,0.9784455916093084,0.7785987597308353,0.9053254437869822,0
1024,0,79,1024,166,881,307,307,4860,0,780,0,9428,0.326606903022448,0.5522088778955823,0.45415796793308805,0.977351687971157,0.779258477371685,0.905255830142708,0
1024,0,79,1024,166,881,307,307,0,4860,0,780,9428,0.31968374558601553,0.5501111972286948,0.4541608091197069,0.9786053752867911,0.7813695738224041,0.8963452836756004,0
